icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a90f92,NKS184  ,United States,1727379684,1727379685,-113.3551,36.2974,7985.76,False,252.38,82.15,3.58,[],8450.58,7245,False,0
a90341,N680AK  ,United States,1727379684,1727379684,-83.0669,42.3365,12496.8,False,258.46,80.84,0.0,[],13030.2,3236,False,0
abb1c2,SWA1049 ,United States,1727379685,1727379685,-87.1759,30.7988,11887.2,False,234.58,86.23,0.33,[],12573.0,7337,False,0
a34e01,JBU697  ,United States,1727379684,1727379684,-71.8432,42.2126,6629.4,False,187.81,265.6,5.85,[],6926.58,0460,False,0
4ca9c1,RYR10NN ,Ireland,1727379684,1727379684,3.5925,39.9055,10972.8,False,254.36,30.51,0.0,[],11590.02,1061,False,0
4ca9c2,RYR24PV ,Ireland,1727379683,1727379684,-1.2484,54.5421,10088.88,False,225.95,58.88,4.23,[],9883.14,6233,False,0
4ca9c3,RUK5899 ,Ireland,1727379684,1727379684,-1.6335,50.8148,967.74,False,71.76,257.16,-4.55,[],830.58,6407,False,0
a9b3b4,N724PG  ,United States,1727379637,1727379637,-86.3924,36.4004,1112.52,False,49.94,357.64,0.65,[],1082.04,None,False,0
a9fc34,RPA3542 ,United States,1727379683,1727379683,-74.1725,40.6863,0.0,False,77.77,205.89,10.08,[],0.0,None,False,0
ada41a,N97826  ,United States,1727379683,1727379684,-105.0395,40.5927,2194.56,False,68.47,277.34,2.28,[],2247.9,1200,False,0
accac7,RGY923  ,United States,1727379684,1727379684,-116.6564,33.5935,5715.0,False,198.61,88.96,3.25,[],6012.18,None,False,0
345659,,Spain,1727379632,1727379632,17.3309,39.9788,11285.22,False,234.24,117.47,0.0,[],11940.54,None,False,0
4ca9aa,RYR21KH ,Ireland,1727379684,1727379684,14.5089,46.3153,11277.6,False,253.61,130.48,0.0,[],11811.0,2277,False,0
ae1ddc,SHWK402 ,United States,1727379467,1727379683,-117.2603,32.7646,53.34,False,52.51,177.75,0.0,[],7.62,None,False,0
ad5460,SWA3506 ,United States,1727379683,1727379684,-88.8165,41.2662,2644.14,False,142.44,64.55,-5.53,[],2720.34,None,False,0
a8e32b,PDT5751 ,United States,1727379684,1727379684,-79.1078,39.9923,9753.6,False,200.2,271.62,0.0,[],10256.52,1511,False,0
a16ec2,UAL1234 ,United States,1727379683,1727379683,-116.777,34.8912,9121.14,False,275.05,53.9,6.5,[],9601.2,None,False,0
a7bc58,JIA5504 ,United States,1727379684,1727379684,-81.9524,33.7619,4671.06,False,200.43,347.25,7.8,[],4838.7,None,False,0
a0a5b5,N14048  ,United States,1727379684,1727379684,-120.2706,39.3586,3749.04,False,66.59,249.18,-0.33,[],3901.44,None,False,0
484506,TRA46R  ,Kingdom of the Netherlands,1727379685,1727379685,1.0991,48.8813,10363.2,False,282.64,39.98,0.0,[],10287.0,1000,False,0
a8a6ff,N657CT  ,United States,1727379683,1727379684,-112.0798,34.7065,11277.6,False,265.47,89.44,0.0,[],11955.78,7343,False,0
c07b3c,ADS605  ,Canada,1727379674,1727379677,-123.4693,49.2202,1028.7,False,86.36,105.2,-4.88,[],1021.08,None,False,0
aaf485,AAL1636 ,United States,1727379683,1727379684,-91.6516,36.8616,11887.2,False,212.87,16.86,0.65,[],12321.54,2722,False,0
4ca9d1,RYR87JQ ,Ireland,1727379434,1727379440,-6.2879,53.4376,259.08,False,76.58,96.17,-3.58,[],167.64,7515,False,0
840a64,JAL4    ,Japan,1727379684,1727379684,-98.5922,45.3715,11277.6,False,266.48,108.92,0.0,[],11826.24,None,False,0
4ca9d2,RYR14MM ,Ireland,1727379684,1727379684,-2.5368,53.2269,1409.7,False,86.84,53.67,-1.95,[],1257.3,1346,False,0
a2c087,ASA555  ,United States,1727379684,1727379684,-94.7828,45.3062,8084.82,False,247.28,288.43,5.2,[],8511.54,7037,False,0
4ca9d4,RYR23AB ,Ireland,1727379685,1727379685,4.0895,53.1287,11277.6,False,247.17,92.51,0.0,[],11163.3,1000,False,0
a6a354,JIA5172 ,United States,1727379683,1727379684,-76.9415,38.8808,1805.94,False,109.62,181.61,-0.33,[],1882.14,2445,False,0
a9accd,AAL3096 ,United States,1727379684,1727379685,-97.0251,32.9712,876.3,False,123.51,1.43,6.18,[],868.68,None,False,0
4ca9d0,RYR97EG ,Ireland,1727379684,1727379685,6.8615,49.1196,11277.6,False,209.21,161.65,0.33,[],11399.52,5246,False,0
aa3053,CXK1135 ,United States,1727379684,1727379684,-112.049,41.3871,1950.72,False,69.97,180.84,-1.95,[],1996.44,None,False,0
ac3475,N886DL  ,United States,1727379684,1727379685,-76.6194,40.2182,4244.34,False,187.76,101.22,-8.78,[],4411.98,6265,False,0
4785c0,WIF1392 ,Norway,1727379682,1727379682,10.9118,63.4546,,True,0.0,84.38,,[],,None,False,0
a16ebc,UAL2679 ,United States,1727379684,1727379684,-88.0,37.9809,11582.4,False,236.74,263.26,0.0,[],12016.74,1535,False,0
ac3477,DAL2922 ,United States,1727379684,1727379684,-121.7364,44.4602,10972.8,False,227.19,335.23,0.0,[],11460.48,1301,False,0
c07b59,CGUSM   ,Canada,1727379684,1727379684,-86.4092,40.4307,13106.4,False,209.01,239.21,-0.33,[],13655.04,0504,False,0
e200b7,LVS106  ,Argentina,1727379684,1727379684,-58.5827,-34.4484,99.06,False,30.25,48.45,3.25,[],205.74,None,False,0
a88c55,FFL693  ,United States,1727379684,1727379684,-80.9422,42.0531,5791.2,False,134.1,70.04,0.33,[],6050.28,7253,False,0
e200b9,LVS114  ,Argentina,1727379683,1727379683,-58.0589,-34.8946,533.4,False,39.86,113.59,-0.65,[],632.46,None,False,0
4ca9bd,ITY417  ,Ireland,1727379377,1727379377,9.2791,45.4574,,True,0.0,90.0,,[],,1000,False,0
a10205,N164RD  ,United States,1727379685,1727379685,-94.0976,44.7618,6705.6,False,126.27,319.63,0.0,[],7071.36,None,False,0
acdde3,SWA1400 ,United States,1727379684,1727379684,-118.0577,33.8187,9342.12,False,191.98,151.51,-8.78,[],9837.42,None,False,0
4ca9bb,EIN13X  ,Ireland,1727379684,1727379685,-71.484,42.3058,5692.14,False,175.67,276.9,-18.86,[],5943.6,2451,False,0
345643,VLG9ZC  ,Spain,1727379681,1727379682,-9.9447,36.0753,10668.0,False,224.71,217.18,0.0,[],11315.7,3706,False,0
345644,,Spain,-1,1727379679,,,,False,0.45,56.25,,[],,None,False,0
345645,VLG64ZY ,Spain,1727379684,1727379685,-2.8768,48.1077,9456.42,False,214.92,197.7,0.0,[],9364.98,5410,False,0
c8216e,ANZ642  ,New Zealand,1727379684,1727379684,170.0788,-44.3193,7307.58,False,245.64,61.34,-5.2,[],7094.22,None,False,0
505c06,SSG001  ,Slovakia,1727379684,1727379685,-76.7416,40.7411,10972.8,False,193.22,280.74,-0.33,[],11544.3,7124,False,0
4ca9a9,RYR87EN ,Ireland,1727379684,1727379685,-7.9688,51.577,8374.38,False,223.3,322.21,-12.03,[],8237.22,5530,False,0
471e29,HKH1    ,Hungary,1727378560,1727379682,41.7416,41.2693,12192.0,False,185.48,259.94,0.33,[],12649.2,2354,False,0
ab149c,QHD813  ,United States,1727379682,1727379684,-90.2271,35.9655,8839.2,False,180.35,93.27,0.0,[],9075.42,None,False,0
e200f6,LVS160  ,Argentina,1727379684,1727379684,-59.8301,-33.2923,2110.74,False,44.44,159.68,0.65,[],2225.04,1633,False,0
ac2154,SWA678  ,United States,1727379684,1727379684,-85.7703,39.9412,10927.08,False,254.97,74.67,3.25,[],11422.38,6754,False,0
a9034c,AAL569  ,United States,1727379684,1727379684,-86.5615,35.5554,7620.0,False,250.18,80.05,0.0,[],7909.56,3401,False,0
a95cd5,JRE702  ,United States,1727379684,1727379685,-78.6843,35.6626,4602.48,False,122.83,186.98,11.05,[],4792.98,5355,False,0
a9034b,ARR680  ,United States,1727379684,1727379684,-88.041,37.1099,13716.0,False,201.54,153.63,-0.65,[],14241.78,3640,False,0
a9aca5,N722TB  ,United States,1727379684,1727379684,-117.872,33.7702,1371.6,False,82.01,199.8,0.0,[],1402.08,None,False,0
8a04a8,CTV602  ,Indonesia,1727379620,1727379620,107.2008,-6.2261,6560.82,False,166.6,109.11,5.53,[],6964.68,None,False,0
aa435b,AAL1905 ,United States,1727379684,1727379684,-92.4866,39.6531,9959.34,False,278.5,196.53,4.88,[],10386.06,None,False,0
a976df,N709KA  ,United States,1727379684,1727379684,-122.8709,48.3561,1661.16,False,58.26,150.95,0.0,[],1684.02,None,False,0
aa568f,UAL535  ,United States,1727379678,1727379679,-118.7062,37.5711,10035.54,False,242.96,243.87,-5.2,[],10546.08,None,False,0
aa90c8,EJM80   ,United States,1727379684,1727379684,-109.8768,35.9042,10728.96,False,225.36,241.5,-10.08,[],11384.28,None,False,0
344307,ANE32KL ,Spain,1727379538,1727379538,1.4256,38.8946,228.6,False,51.57,241.39,-2.6,[],396.24,None,False,0
a9acb8,DAL403  ,United States,1727379683,1727379684,-109.6786,35.3137,10668.0,False,259.77,76.02,0.0,[],11285.22,7320,False,0
a3a503,DAL687  ,United States,1727379684,1727379684,-100.7404,33.9562,10363.2,False,236.92,277.11,0.0,[],10972.8,2606,False,0
